Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Influenza,States,Alaska,2012,Age,≥18 Years,49.2,45.3 to 53.1,852
Influenza,States,Arkansas,2012,Age,≥18 Years,46.6,40.7 to 52.5,756
Influenza,States,Colorado,2012,Age,≥18 Years,56.1,52.1 to 60.0,1170
Influenza,States,Delaware,2012,Age,≥18 Years,41.6,38.4 to 44.8,981
Influenza,States,Georgia,2012,Age,≥18 Years,33.6,29.6 to 37.7,1007
Influenza,States,Hawaii,2012,Age,≥18 Years,42.0,38.7 to 45.4,1385
Influenza,States,Illinois,2012,Age,≥18 Years,49.1,45.7 to 52.5,1037
Influenza,States,Maine,2012,Age,≥18 Years,53.0,48.4 to 57.5,654
Influenza,States,Maryland,2012,Age,≥18 Years,47.9,43.9 to 51.9,906
Influenza,States,Massachusetts,2012,Age,≥18 Years,66.1,62.6 to 69.4,1456
Influenza,States,Michigan,2012,Age,≥18 Years,42.8,39.7 to 45.9,1879
Influenza,States,Minnesota,2012,Age,≥18 Years,66.0,62.5 to 69.4,906
Influenza,States,Missouri,2012,Age,≥18 Years,45.5,41.6 to 49.5,816
Influenza,States,Nebraska,2012,Age,≥18 Years,58.8,55.1 to 62.4,1068
Influenza,States,New Jersey,2012,Age,≥18 Years,38.6,35.3 to 42.0,1021
Influenza,States,New Mexico,2012,Age,≥18 Years,49.2,45.6 to 52.8,915
Influenza,States,NY-City of New York,2012,Age,≥18 Years,37.8,34.7 to 41.0,1436
Influenza,States,Ohio,2012,Age,≥18 Years,39.5,36.6 to 42.5,1607
Influenza,States,Oklahoma,2012,Age,≥18 Years,43.6,39.5 to 47.7,1747
Influenza,States,Oregon,2012,Age,≥18 Years,54.3,48.9 to 59.6,712
Influenza,States,Pennsylvania,2012,Age,≥18 Years,47.3,43.2 to 51.4,771
Influenza,National,United States,2012,Age,≥18 Years,47.4,46.6 to 48.2,31507
Influenza,States,Rhode Island,2012,Age,≥18 Years,60.4,57.3 to 63.4,1141
Influenza,States,Tennessee,2012,Age,≥18 Years,44.1,39.8 to 48.5,792
Influenza,States,Utah,2012,Age,≥18 Years,48.9,45.8 to 52.0,1483
Influenza,States,Vermont,2012,Age,≥18 Years,57.5,54.3 to 60.7,955
